uid,iid,pop_value,time
71,1,0.00465,976504695
13,1,0.00419,958789797
41,1,0.00473,966204946
10,1,0.00463,966882253
5,1,0.00478,974645659
360,1,0.00421,959215356
75,1,0.0048,974709072
25,1,0.00477,974596942
94,1,0.0048,974692153
77,1,0.00441,962671158
11,1,0.00441,965359854
18,1,0.00478,974637591
4,1,0.00426,957725828
197,1,0.00478,974851134
31,1,0.0048,974734937
30,1,0.0048,974735849
26,1,0.00461,967427271
3,1,0.00478,972485178
247,1,0.00445,962593503
201,1,0.00476,975610265
57,1,0.0048,974732754
145,1,0.00481,974657669
262,1,0.00453,965604459
58,1,0.00427,961939452
16,1,0.0046,976831746
36,1,0.00452,963868094
2,1,0.00431,961699421
37,1,0.0043,959815085
64,1,0.00468,967326963
113,1,0.00426,961528390
9,1,0.00476,975220031
362,1,0.00464,967034247
191,1,0.00487,973627550
123,1,0.0042,962367300
23,1,0.00478,974613155
34,1,0.00467,966376587
205,1,0.00447,965058503
33,1,0.00482,974161277
193,1,0.00463,967510902
194,1,0.00482,973726447
117,1,0.00471,975798682
32,1,0.00322,999111394
55,1,0.00468,966644634
81,1,0.00363,956709215
59,1,0.00471,966014168
24,1,0.00455,977373015
233,1,0.00443,965158524
14,1,0.00473,966096281
111,1,0.00445,963997717
19,1,0.00433,978196348
66,1,0.00441,965363912
124,1,0.00416,958865375
39,1,0.00468,967131985
40,1,0.00446,986627109
126,1,0.0047,976226788
51,1,0.00471,976211983
98,1,0.0048,974749398
35,1,0.00477,974935096
52,1,0.00419,958827935
232,1,0.00467,976348983
50,1,0.00457,967608066
158,1,0.00431,978100763
89,1,0.00464,966995883
160,1,0.00428,961368709
87,1,0.00481,974402904
86,1,0.0048,974690686
83,1,0.00433,969643595
128,1,0.00436,962828305
45,1,0.00436,962933340
84,1,0.0043,959813284
363,1,0.00428,968392512
70,1,0.00471,965931806
38,1,0.00432,959987437
80,1,0.0048,974707978
196,1,0.00481,974820798
102,1,0.00351,996978793
42,1,0.0048,973988387
131,1,0.00448,965087048
67,1,0.00446,962486430
187,1,0.00476,974996013
56,1,0.00479,974742457
130,1,0.00447,963057826
137,1,0.0048,974832520
88,1,0.00477,974949619
143,1,0.00407,958587228
114,1,0.00467,976489179
140,1,0.00445,965184060
153,1,0.00282,993535439
146,1,0.00483,972185538
127,1,0.00446,962501188
166,1,0.00475,975603601
134,1,0.0047,966316206
103,1,0.00318,991356775
92,1,0.00455,971204580
820,1,0.00478,974646191
85,1,0.00476,972930740
78,1,0.00465,976525976
69,1,0.00438,962686697
96,1,0.0047,976125591
245,1,0.00391,957213114
116,1,0.00476,975344010
79,1,0.00442,959440185
101,1,0.00439,968170004
132,1,0.00445,968643198
180,1,0.00445,964118605
173,1,0.0044,964826310
209,1,0.00467,967243792
118,1,0.00441,959653357
172,1,0.00476,975607009
186,1,0.00451,968904624
121,1,0.00477,974924949
104,1,0.00483,973746365
348,1,0.00446,965016479
133,1,0.0048,974414809
430,1,0.00443,965176464
216,1,0.00416,960790264
569,1,0.00469,965969805
144,1,0.00458,976773702
214,1,0.00477,974600728
119,1,0.00454,977336570
163,1,0.00447,965074057
198,1,0.0043,959578700
179,1,0.0048,974763659
112,1,0.00359,956855282
138,1,0.00478,974853230
322,1,0.00445,964998768
300,1,0.00444,965503900
265,1,0.00473,966130211
372,1,0.0048,974765570
120,1,0.00474,975700262
434,1,0.00437,970169730
184,1,0.00471,965943178
252,1,0.00444,962599580
207,1,0.00412,960056533
393,1,0.00421,959207733
175,1,0.00478,974615980
183,1,0.0048,974763463
246,1,0.00448,965560339
161,1,0.00434,960594470
147,1,0.00468,966538558
352,1,0.00433,960401981
234,1,0.00387,957217784
254,1,0.00471,975800636
215,1,0.00478,974610186
373,1,0.00444,969650793
217,1,0.0048,974760312
266,1,0.00476,974951608
344,1,0.00457,965711252
226,1,0.00484,973094273
155,1,0.0048,974728540
299,1,0.00469,975768870
181,1,0.00437,962582031
219,1,0.0048,974677208
275,1,0.00444,968092747
280,1,0.00446,971124294
259,1,0.0048,974699228
665,1,0.00476,975359320
281,1,0.00425,978146806
541,1,0.0048,974708516
627,1,0.00424,960156669
240,1,0.00258,982860346
227,1,0.0048,974758992
472,1,0.00478,974857144
228,1,0.00448,962648348
456,1,0.00476,975367296
293,1,0.00391,957201824
239,1,0.00477,974609522
268,1,0.00532,1011116945
341,1,0.00447,977437902
242,1,0.00471,975957883
279,1,0.00442,965323964
287,1,0.00451,963434108
243,1,0.00414,960846109
330,1,0.00469,976296419
260,1,0.00446,965079338
235,1,0.0048,974749879
253,1,0.0047,975794222
244,1,0.00453,965242995
213,1,0.00426,958010720
410,1,0.00421,959299850
277,1,0.00481,973981086
550,1,0.00478,975639718
269,1,0.00399,957374082
332,1,0.00439,963323826
238,1,0.00477,975001256
376,1,0.00478,973021722
532,1,0.00445,962675883
435,1,0.00472,975864609
267,1,0.00481,974816484
286,1,0.00489,970708634
403,1,0.00481,974817399
334,1,0.00507,970511829
473,1,0.0044,964807682
307,1,0.00447,968007435
312,1,0.00451,971107268
290,1,0.0044,963563032
608,1,0.00443,965339182
405,1,0.00477,974609859
236,1,0.00443,965438290
369,1,0.00454,971063896
255,1,0.00479,973904492
291,1,0.00477,974926643
647,1,0.00465,965861667
297,1,0.00456,965755053
490,1,0.00454,971212695
294,1,0.00426,961899826
588,1,0.00428,959471753
303,1,0.00465,976547509
417,1,0.00477,974886345
504,1,0.00458,965765666
324,1,0.00472,966157831
261,1,0.00456,965748288
321,1,0.005,970673619
441,1,0.00427,968283997
351,1,0.0048,974677103
460,1,0.00438,959639664
413,1,0.00538,1013195061
635,1,0.00465,976899838
251,1,0.00463,967517917
574,1,0.00481,974788807
331,1,0.00437,959736957
734,1,0.00473,975912731
276,1,0.0048,974517030
314,1,0.00463,966885593
968,1,0.00478,975115343
386,1,0.00431,978102938
422,1,0.00454,965672409
315,1,0.00479,974740412
459,1,0.00447,965077208
347,1,0.00477,975437477
316,1,0.00478,975161280
358,1,0.00463,966883288
317,1,0.00438,962913910
521,1,0.00477,972989068
273,1,0.00452,965583685
400,1,0.00442,965316263
599,1,0.00468,966516624
318,1,0.00472,975989029
361,1,0.00426,960258376
416,1,0.00477,975190294
478,1,0.00443,963681903
383,1,0.00437,962237779
327,1,0.00477,974599224
292,1,0.00427,962396712
419,1,0.0048,974716590
323,1,0.00464,970073536
